LICENSENO,Registration_Type,ISSDTTM,NAMEFIRST,NAMELAST,Reporting_Statement
CCL392600,Client Registration,2019-04-24 15:48:32,,American Staffing Association,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1In8pEJIIMwd9SNJIL_S3djr9nQ2xqmXA/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1In8pEJIIMwd9SNJIL_S3djr9nQ2xqmXA/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1ai9XNpXhc1nYSzFCoECjIkYryFyqwuJS/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1ai9XNpXhc1nYSzFCoECjIkYryFyqwuJS/view?usp=sharing</A></P>"
CCL403509,Lobbyist Registration,2019-07-23 11:10:23,Benjamin,Stuart,"<A href=""https://drive.google.com/a/boston.gov/file/d/1lROeynofRe31eIDdVlQvULbwjRyLn7JS/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1lROeynofRe31eIDdVlQvULbwjRyLn7JS/view?usp=sharing</A>"
CCL392308,Client Registration,2019-04-22 17:57:03,,"Ameresco, Inc.","<P><A href=""https://drive.google.com/a/boston.gov/file/d/1NF2mcIqhO8p0KyB1FrB3EyAmtP2HwedA/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1NF2mcIqhO8p0KyB1FrB3EyAmtP2HwedA/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1RWeyj0f7yPJP4i2DfGy8SrEgJx28K2jJ/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1RWeyj0f7yPJP4i2DfGy8SrEgJx28K2jJ/view?usp=sharing</A></P>"
CCL391880,Lobbyist Registration,2019-04-16 18:37:24,,Richard Lynds,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1355I-1HokDyH6VCWAb30AEykrAlYiTEN/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1355I-1HokDyH6VCWAb30AEykrAlYiTEN/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1ebv8j2gcUiDECgrhCv9KnnnrSv9hAW0D/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1ebv8j2gcUiDECgrhCv9KnnnrSv9hAW0D/view?usp=sharing</A></P>"
CCL410424,Client Registration,2019-09-20 15:05:17,,AgustaWestland Philadelphia Corporation,
CCL407641,Client Registration,2019-08-22 11:00:38,,Tsamoutales Strategies,"<A href=""https://drive.google.com/a/boston.gov/file/d/1LinkFFHqloq5TZOmboZ0QkCMxoKcqixk/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1LinkFFHqloq5TZOmboZ0QkCMxoKcqixk/view?usp=sharing</A>"
CCL393152,Client Registration,2019-04-29 18:43:30,,EQ Office,
CCL391881,Client Registration,2019-04-16 18:45:22,,"MG2 Group, LLC","<P><A href=""https://drive.google.com/a/boston.gov/file/d/1mx8uYEbXyYI28JsH6fyMA5WDZE33Bwna/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1mx8uYEbXyYI28JsH6fyMA5WDZE33Bwna/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1iRHRcqMPSaKjuNAxfhGErRFffBB530Y-/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1iRHRcqMPSaKjuNAxfhGErRFffBB530Y-/view?usp=sharing</A></P>"
CCL400501,Client Registration,2019-06-27 12:29:16,,Mark Development,
CCL392458,Client Registration,2019-04-23 20:10:36,,Environment America DBA Environment Massachusetts,"<A href=""https://drive.google.com/a/boston.gov/file/d/1bIfxc-w-0vFsnnJxfRIDs4nj794cHS0V/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1bIfxc-w-0vFsnnJxfRIDs4nj794cHS0V/view?usp=sharing</A>"
